"No.","Time","Source","Destination","Protocol","Length","Authorization","Info"
"4","0.002653","192.168.163.128","192.168.163.2","HTTP","436","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmbGFnIjoiQ0NJVHs4NTQzODkyOTZiYmFkZDQ4MmEzM2ZjZjhkZGEyMzgyYn0iLCJuYmYiOjE2NTIwOTU0MTMsImV4cCI6MTY1MTg2NTE2Nn0.nDC8J_lz8CcNcRoVzSYY-cV5rQUAVvocbXkAQddfkH8","GET / HTTP/1.1 "
"14","0.010645","192.168.163.128","192.168.163.2","HTTP","436","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmbGFnIjoiQ0NJVHtmZTlhMDRhZTczNWRlZDNjMDYyMzc5Y2NhODczZDM2ZH0iLCJuYmYiOjE2NTM3NjgwODYsImV4cCI6MTY1MzE1MTE3NX0.do2ZXUBWwVIvLwuOakmF8-9JAU0is3Z-dv6d5e-_cxw","GET / HTTP/1.1 "
"24","0.013973","192.168.163.128","192.168.163.2","HTTP","436","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmbGFnIjoiQ0NJVHtkOTFhNjg4YzVjZGI0YTVmNTVjYzQwZWQ2ODRlM2FhM30iLCJuYmYiOjE2NTE5OTY5NzYsImV4cCI6MTY1MTg4NzU4Mn0.7Z8ksBSaI6J7yf84B_PzHa9LlhK9G0Lm6opGFQUerTw","GET / HTTP/1.1 "
"34","0.017801","192.168.163.128","192.168.163.2","HTTP","436","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmbGFnIjoiQ0NJVHs2NjcxNDI4OTMxOGVkMGZkZmU3YjdjYzIyYjU0MGYxNH0iLCJuYmYiOjE2NTM4NjM2ODcsImV4cCI6MTY1Mzc4MTU4OH0.KK-IuVTA8640G_iajOhnIile_l6hoLKV1UZf0jU83Aw","GET / HTTP/1.1 "
"43","0.021706","192.168.163.128","192.168.163.2","HTTP","436","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmbGFnIjoiQ0NJVHsxMWRkM2E0NWI0NjFmODdhYmU1MzJmMjg2Njg5Nzk5MX0iLCJuYmYiOjE2NTI3Mjc0MDQsImV4cCI6MTY1MTg1OTAwM30.xW6E8xgfBNJdTRft2UJEfYpCZ3U-Kdj_ii0htpRDrBE","GET / HTTP/1.1 "
"54","0.024255","192.168.163.128","192.168.163.2","HTTP","436","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmbGFnIjoiQ0NJVHsyODVjNDM3MDBmYmU3OWU2MjRmZmFkNDZiYjg2YjhlYn0iLCJuYmYiOjE2NTUwNDQ0ODIsImV4cCI6MTY1NjQ0MDU3N30.s44RzZWgGjdEqmNDCjyccqhBmEZefC4mqMChzL1cGN0","GET / HTTP/1.1 "
"64","0.026755","192.168.163.128","192.168.163.2","HTTP","436","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmbGFnIjoiQ0NJVHtlNDViNzVlN2Q1N2VjMTAwNGMyOTk5MWM4Yjg1YjUzYX0iLCJuYmYiOjE2NTUwMjY1MDcsImV4cCI6MTY1NTM0NzYzMH0.-Kah1SscwQCEJajir8Jv09FNkdftMk0CUDTDA8IfPpI","GET / HTTP/1.1 "
"74","0.029610","192.168.163.128","192.168.163.2","HTTP","436","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmbGFnIjoiQ0NJVHs5OWRhYTU5MmIyNDlkMDAyMjJmM2Q2ZmJlZWU0ZGQ5MH0iLCJuYmYiOjE2NTM1Nzg4MzksImV4cCI6MTY1MTc3ODc3N30.UVDucoDK6AhJ3Ix28E8CZYfj_-Nk-C6dJv_na6v0kgM","GET / HTTP/1.1 "
"83","0.034770","192.168.163.128","192.168.163.2","HTTP","436","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmbGFnIjoiQ0NJVHsxYjAxNGY4ZWFjMzM1MjNjNmRmMTE3NTg0YTRmM2MyZH0iLCJuYmYiOjE2NTIxODc5MDMsImV4cCI6MTY1MjE2NDM5NX0.nCKzgqhLhtY7s4-qwzAwqGdGqu4qzZfOc-orHlGd3RQ","GET / HTTP/1.1 "
"94","0.039667","192.168.163.128","192.168.163.2","HTTP","436","Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmbGFnIjoiQ0NJVHszZGE4ODg1NzU4NjQwZjkzMzUxMjA3YjNhMmRkMzE0Mn0iLCJuYmYiOjE2NTQ2ODg5OTUsImV4cCI6MTY1NTQ5NTQzM30.5elgVq2Xq1nRYa9ajKZat-ZwN3NoJm7fFJJc-C4LF2I","GET / HTTP/1.1 "
